objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
lnc001,,FPieY29s964,Video of the Entrance at Glencoe Public Library,"Conner, Mckayla",2025-03-19,Short video of the entrance of the Glencoe Public Library,Architecture; Lighting,"Glencoe, Illinois",42.13439363,-87.75815084,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc002,,rbCs0IFXwpc,Video of the Main Lobby at Glencoe Public Library,"Conner, Mckayla",2025-03-19,Short video of the main lobby at Glencoe Public Library,Architecture; Art; Books,"Glencoe, Illinois",42.13439363,-87.75815084,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc003,,xjUPA8WoLwY,Video of the Entrance at Lake Forest Public Library,"Conner, Mckayla",2025-03-19,Short video of the entrance at Lake Forest Public Library in the evening,Architecture,"Lake Forest, Illinois",42.25216097,-87.8380187,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc004,,rbCs0IFXwpc,Video of the Multi Level Collection at Lake Forest Public Library,"Conner, Mckayla",2025-03-19,Short video of the multi level collection at Lake Forest Public Library,Architecture; Books,"Lake Forest, Illinois",42.25216097,-87.8380187,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc005,,heqPx1VMNDo,Video of the Entrance at the Park Ridge Public Library,"Conner, Mckayla",2025-02-25,Short video of the Entrance at the Park Ridge Public Library,Architecture; Lighting,"Park Ridge, Illinois",42.01076096,-87.83051303,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc006,,Cx9e24nSkjk,Video of the Silent Reading Room at the Park Ridge Public Library,"Conner, Mckayla",2025-02-25,Short video of the Silent Reading Room at the Park Ridge Public Library,Art; Books,"Park Ridge, Illinois",42.01076096,-87.83051303,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc007,,WBnf0_KKuZI,Video of the Collection at the Park Ridge Public Library,"Conner, Mckayla",2025-02-26,Short video of the collection at the Park Ridge Public Library,Books; Lighting,"Park Ridge, Illinois",42.01076096,-87.83051303,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc008,,dZeBWumCNa0,Video of the Main Lobby at the Niles-Maine District Library,"Conner, Mckayla",2025-03-26,Short video of the main lobby at the Niles-Maine Public Library featuring their new and popular selection,Books,"Niles, Illinois",42.02700941,-87.80149888,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc009,,m08yWV06D5U,Video of the Fiction Collection at Niles-Maine Public Library,"Conner, Mckayla",2025-03-26,Short video of the fiction collection at the Niles-Maine Public Library located on the second floor,Architecture; Books; Lighting,"Niles, Illinois",42.02700941,-87.80149888,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc010,,4kfRjBkoa44,Video of the Main Lobby at the Mount Prospect Public Library,"Conner, Mckayla",2025-03-19,Short video the main lobby at the Mount Prospect Public Library featuring an aerial art installation and reference desk as soon as you walk in ,Art; Books; Reference,"Mount Prospect, Ilinois",42.06565944,-87.93606798,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc011,,y4ZUqtMDdFg,Video of the Collection at the Mount Prospect Public Library,"Conner, Mckayla",2025-03-20,Short video of the collection at the Mount Prospect Public Library featuring books and art,Art; Books,"Mount Prospect, Ilinois",42.06565944,-87.93606798,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc012,,CK8-vZAMk28,Video of the Collection at the Des Plaines Public Library,"Conner, Mckayla",2025-03-18,Short video of the collection at the Des Plaines Public Library,Books,"Des Plaines, Illinois",42.04046238,-87.88720993,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc013,,nRvXzIe7FXY,Video of the View from the Des Plaines Public Library,"Conner, Mckayla",2025-05-04,Short video of the view from the second floor of the Des Plaines Public Library,Views,"Des Plaines, Illinois",42.04046238,-87.88720993,,,Image;MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc014,lnc_01.jpg,,Photograph of Kayla Reading at the Niles-Maine District Library,"Conner, Mckayla",2025-04-05,Photograph of Kayla reading at the Niles-Maine District Library,Books,"Niles, Illinois",42.02700941,-87.80149888,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
lnc015,lnc_02.jpg,,Photograph of Upstairs Lobby at the Northbrook Public Library,"Conner, Mckayla",2024-10-28,Photograph of the lobby and reference desk on the second floor of the Northbrook Public Library,Books; Reference,"Northbrook, Illinois",42.13039639,-87.83126936,,,Image;StilliImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/